t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz, yaw
0.54,0.26393525649270017,-0.3284588907054001,0.0,1.3764655283850005,-1.3985021279699994,0.0,2.6653701914999983,0.7117656570000096,0.0,-19.563922625000004,47.26509025000011,0.0,-87.99425092592597,89.24339074074126,0.0,0.0
0.55,0.2778298839092631,-0.3424004112689486,0.0,1.402126840676865,-1.3890074794406135,0.0,2.465521116590043,1.1884222210166022,0.0,-20.386416442954843,48.01960640914359,0.0,-76.30816090106322,61.27271669238726,0.0,0.0
0.56,0.29197099988052766,-0.356223038615142,0.0,1.425750534569145,-1.3747132985169825,0.0,2.2580511785788713,1.671186453596726,0.0,-21.086104647462303,48.48270334156389,0.0,-63.42771220850486,30.949669958848034,0.0,0.0
0.5700000000000001,0.30633786814730257,-0.3698785215915735,0.0,1.4472667421252874,-1.3555734740057803,0.0,2.0442486931371517,2.157025556295148,0.0,-21.65088117100697,48.63056105729178,0.0,-49.32040868055557,-1.7850020833328415,0.0,0.0
0.58,0.3209091202180325,-0.3833183035685127,0.0,1.466619089284845,-1.331573423573073,0.0,1.825524661419066,2.6426655681358064,0.0,-22.06831498439647,48.438767040123544,0.0,-33.95375414952011,-36.99055205761252,0.0,0.0
0.59,0.33566289649599385,-0.39649384988438,0.0,1.4837659389664042,-1.3027325349959258,0.0,1.6034160196791183,3.1245854403494246,0.0,-22.32565009676142,47.882316247620984,0.0,-17.295252447702467,-74.72623258744773,0.0,0.0
0.6,0.35057700000000014,-0.40935699999999997,0.0,1.4986816666666667,-1.2691066666666673,0.0,1.3795888888888874,3.599011111111119,0.0,-22.409805555555597,46.93561111111123,0.0,0.6875925925923525,-115.05129629629559,0.0,0.0
0.61,0.3656290630035791,-0.4218603449541623,0.0,1.5113579685557046,-1.2307907073497333,0.0,1.1558418243538007,4.061909580278173,0.0,-22.307375446555678,45.57246153568685,0.0,20.027277139060175,-158.02499580761258,0.0,0.0
0.62,0.3807967269175838,-0.4339576307130125,0.0,1.521805202068384,-1.1879211951911788,0.0,0.934109065329898,4.508982984127597,0.0,-22.004628893861476,43.766084900205875,0.0,40.75629735939633,-203.7065837448552,0.0,0.0
0.63,0.396058,-0.445604,0.0,1.530055,-1.1406716666666668,0.0,0.7164722222222223,4.935738888888889,0.0,-21.487388888888894,41.489722222222234,0.0,62.908148148148165,-252.15148148148157,0.0,0.0
